Length,Cumulative Growth
446,22854251330422
447,23165475755814
448,23480185836906
449,23798488542966
450,24120357046110
451,24445854991014
452,24775018999842
453,25107882280518
454,25444444703966
455,25784800287790
456,26128912892542
457,26476861520310
458,26828663638046
459,27184389340754
460,27544005049382
461,27907615209314
462,28275212626574
463,28646856833654
464,29022582872094
465,29402432609082
466,29786387043118
467,30174570177742
468,30566938818450
469,30963567313466
470,31364478741254
471,31769746392282
472,32179347555218
473,32593380357718
474,33011836267394
475,33434779411854
476,33862240845278
477,34294277289414
478,34730870246374
479,35172148755274
480,35618069296510
481,36068698220746
482,36524086107594
483,36984299718782
484,37449315446162
485,37919239398662
486,38394049362018
487,38873839788246
488,39358629838638
489,39848487088318
490,40343390592838
491,40843470195302
492,41348704073906
493,41859138918014
494,42374833341974
495,42895852013914
496,43422153818610
497,43953888266562
498,44491015835982
499,45033633681398
500,45581758605726
501,46135454425258
502,46694717593886
503,47259679300266
504,47830318063658
505,48406685075006
506,48988832722818
507,49576849191914
508,50170692449542
509,50770516361142
510,51376278978914
511,51988077241438
512,52605949490358
513,53229957184078
514,53860084947590
515,54496481528034
516,55139094181582
517,55788019077558
518,56443298220254
519,57105031821006
520,57773170824018
521,58447868996330
522,59129104721674
523,59816964050938
524,60511504208574
525,61212777123474
526,61920761456926
527,62635644597938
528,63357346369426
529,64085981787810
530,64821587823242
531,65564264651918
532,66313986017562
533,67070894293890
534,67834978068470
535,68606324794266
536,69384968431954
537,70171000659446
538,70964380160634
539,71765313723698
540,72573720551834
541,73389707796630
542,74213347373790
543,75044731404546
544,75883828022702
545,76730798200246
546,77585596266974
547,78448369899866
548,79319148387318
549,80198016812178
550,81084941574178
551,81980117813426
552,82883497705558
553,83795169857242
554,84715214033054
555,85643716312634
556,86580618049882
557,87526129817954
558,88480191961686
559,89442960720486
560,90414465488174
561,91394791413534
562,92383931653330
563,93382075169946
564,94389174224374
565,95405312561982
566,96430569412354
567,97465083934378
568,98508764808962
569,99561848937958
570,100624268560246
571,101696176107990
572,102777625397650
573,103868694141586
574,104969382388238
575,106079884049418
576,107200136446898
577,108330264670230
578,109470328547534
579,110620469298986
580,111780600506330
581,112950945919570
582,114131469869554
583,115322297770266
584,116523491693614
585,117735141890230
586,118957208998150
587,120189958046298
588,121433293065174
589,122687371141282
590,123952250602446
591,125228059560822
592,126514749679090
593,127812535378162
594,129121381314626
595,130441427581042
596,131772724601006
597,133115403564834
598,134469394537222
599,135834982555950
600,137212054193146
601,138600748304198
602,140001186178762
603,141413462442870
604,142837542677890
605,144273635015822
606,145721682351318
607,147181877571574
608,148654250254486
609,150138953190838
610,151635903165522
611,153145396157306
612,154667352139214
613,156201891605250
614,157749118782222
615,159309166582502
616,160881949115850
617,162467748150718
618,164066486403754
619,165678375622846
620,167303439687394
621,168941804308422
622,170593457017434
623,172258667587674
624,173937353051262
625,175629647230478
626,177335636555142
627,179055511865018
628,180789167679446
629,182536915841582
630,184298669115290
631,186074613517734
632,187864842189562
633,189669461799718
634,191488452197010
635,193322093820002
636,195170280746982
637,197033205370466
638,198910929962154
639,200803683403074
640,202711341369186
641,204634206316414
642,206572238080278
643,208525585404930
644,210494367551190
645,212478675859894
